id,name,cuisine_genre_id,tel,zipcode,pref_id,address1,address2,gmap_url,access,business_hours,regular_holiday,parking_flag,parking_text,credit_card,electronic_money,hp_url,gnavi_url,tabelog_url,demaecan_url,ubereats_url
11,ウゾウムゾウ,7,050-3468-7824,615-0026,26,京都市右京区,西院北矢掛町46-2,https://g.page/uzoumuzou?share,阪急京都線 西院駅 徒歩4分,"18:00～翌1:00
（L.O.24:30）

月～土
昼食　12:00～14:30
（L.O.14:00）",不定休日あり,0,,不可,,,https://r.gnavi.co.jp/ka3h600/,https://tabelog.com/kyoto/A2601/A260401/26005100/,,
12,日本酒と藁焼きと炭火焼 がぶり,15,050-3468-7877,604-8162,26,京都市中京区,烏丸蛸薬師上ル七観音町637 第41インターワンプレイスB1,https://goo.gl/maps/A2MPJme68PT27TuP8,"地下鉄烏丸線 四条駅 22番出口 徒歩3分
地下鉄烏丸線 烏丸御池駅 6番出口 徒歩4分
阪急京都線 烏丸駅 22番出口 徒歩3分","ランチ　12:00～15:00
（L.O.14:00）
緊急事態宣言終息まで、こちらの時間で営業いたします、ご了承ください。
ディナー　17:00～20:00
緊急事態宣言終息まで、こちらの時間で営業いたします、ご了承ください。
(アルコールの提供は19時までとさせていただきます)

月～木・日
17:00～翌1:00
（L.O.24:00、ドリンクL.O.24:30）

金・土・祝日
17:00～翌1:00
（L.O.24:00、ドリンクL.O.24:30）",不定休日あり,1,,VISA、Master、JCB、AMEX、Diners,,https://ra-products.net/gaburi/,https://r.gnavi.co.jp/kand200/,https://tabelog.com/kyoto/A2601/A260201/26019520/,,
13,サラ スイート カフェ ルーコラ,9,050-3477-7347,600-8491,26,京都市下京区,室町通四条下ル鶏鉾町491 池坊短期大学内B1,https://goo.gl/maps/F4CYZXKTA5nVrS569,"地下鉄烏丸線 四条駅 2番出口 徒歩3分
阪急京都線 烏丸駅 26番出口 徒歩1分","月～日
ランチ　11:30～16:00
（L.O.15:30）
ランチのご予約は１２時までとさせて頂いております。１２時以降のご予約はできかねますのでご了承願います。
ご予約頂いた時間から30分以上遅れますとキャンセル扱いになりますのでご了承ください。

月～土・祝前日
ディナー　18:00～23:00
（L.O.22:30、ドリンクL.O.22:30）

日・祝日
ディナー　18:00～23:00
（L.O.22:00、ドリンクL.O.22:30）
※貸切営業の為、営業時間が変更している事がございます。
念の為、店舗にお問い合わせ頂けますと幸いです。",無,0,,VISA、Master、JCB、AMEX、Diners,,https://cafferucola.gorp.jp/,https://r.gnavi.co.jp/c425300/,https://tabelog.com/kyoto/A2601/A260201/26004154/,,https://www.ubereats.com/jp/kyoto/food-delivery/%E3%82%AB%E3%83%95%E3%82%A7-%E3%83%AB%E3%83%BC%E3%82%B3%E3%83%A9-caffe-rucola/DFIAvc3YR0SJBY4NZWFNwQ
14,黒毛和牛・網野鮮魚 楓～はなれ～,14,050-3462-5627,604-8855 ,26,26京都市中京区,壬生淵田町1-1,https://goo.gl/maps/wVrWK9bK7G9hTjwk9,"阪急京都線 西院駅 徒歩1分
京福嵐山本線 西院駅 徒歩1分","17:00～翌1:00
（L.O.24:00）",不定休日あり,0,,JCBアメリカン・エキスプレスダイナースクラブDiscover Card銀聯,,,https://r.gnavi.co.jp/707kr0g40000/,,,
15,松喜屋 京都四条店,14,050-3464-6613,600-8005,26,京都市下京区,四条通麩屋町西入立売東町28 SAKIZO PLAZAビル2F,https://goo.gl/maps/7BStmeuDKai8Fq6p9,"地下鉄烏丸線 四条駅 徒歩7分
阪急京都線 河原町駅 徒歩5分","月～日
ランチ　11:30～15:00
（L.O.14:00）
ディナー　17:00～22:00
（L.O.20:30、ドリンクL.O.21:00）",不定休日あり,0,,JCB、AMEX、Diners,,https://www.matsukiya.net/restaurant/kyoto.html,https://r.gnavi.co.jp/kapb900/,https://tabelog.com/kyoto/A2601/A260201/26018529/,,
16,エール新町,9,050-3464-6368,600-8443,26,京都市下京区,新町仏光寺上ル船鉾町400,https://goo.gl/maps/uETP496inFi68uKb8,"地下鉄烏丸線 四条駅 6番出口 徒歩3分
阪急京都線 烏丸駅 6番出口 徒歩3分","月・火・木～日
11:30～15:00
（L.O.14:00、ドリンクL.O.14:00）
ディナーの営業時間によって、閉店時間を早める場合もございます。
17:30～22:30
（L.O.20:30、ドリンクL.O.22:30）",水曜日,0,,VISA、Master,,https://www.kyoto-restaurant.jp/,https://tabelog.com/kyoto/A2601/A260201/26020734/,https://r.gnavi.co.jp/k786201/,,
17,京都ダイナーⅡ,10,050-3464-1609,600-8418,26,京都市下京区,烏丸通松原下ル五条烏丸町407-2,https://goo.gl/maps/AHCrZioB6Ah3s1SLA,"地下鉄烏丸線 五条駅 徒歩3分
地下鉄烏丸線 四条駅 徒歩5分","月～金
11:30～23:00
（L.O.22:00、ドリンクL.O.22:30）
平日は11:30より17:00までランチ・カフェタイムです。17時までランチメニューをお出しできます。夜のメニューは17時より始まります。

土・祝日
12:00～23:00
（L.O.22:00、ドリンクL.O.22:30）
土曜日・祝日は12:00より17:00までランチ・カフェタイムとなります。17時までランチメニューもお出しできます。夜のメニューは17時より始まります。","日曜日
連休は日曜日営業。翌月曜休み。",0,,VISA、Master、JCB、AMEX、Diners,,http://kyoto-diner.com/,https://r.gnavi.co.jp/2gd6sxnm0000/,https://tabelog.com/kyoto/A2601/A260201/26031368/,,
18,ベジョータ ムチョ 室町店,10,050-3313-1982,600-8432,26,京都市下京区,糸屋町228,https://goo.gl/maps/CRpNaEsw2AYRPXWx8,"地下鉄烏丸線 四条駅 徒歩5分
阪急京都線 烏丸駅 徒歩5分
ＪＲ 京都駅 車8分","17:00～翌1:00
（L.O.24:00）","日曜日
年末年始（2019年12月31日～2020年1月3日）
月曜日も祝日の場合、翌火曜日が休みとさせていただきます。",0,,VISA、JCB、AMEX、Master、Diners,,https://mucho.gorp.jp/,https://r.gnavi.co.jp/1bcxxybm0000/,https://tabelog.com/kyoto/A2601/A260201/26018387/,,
19,和しょく 志喜 ,3,050-3312-8207,604-0833,26,京都市中京区,押小路高倉西入ル左京町137 1F,https://goo.gl/maps/mtyZG5VLc9S4jsUe6,"地下鉄烏丸線 烏丸御池駅 徒歩5分
地下鉄東西線 烏丸御池駅 徒歩5分","火～日・祝前日・祝日
17:30～23:00
（L.O.22:30）","月曜日
※月に一度、日曜休みあり（Facebookでお知らせします）",0,,VISA、Master、JCB、Diners、AMEX,,http://shikikyoto.com/,https://r.gnavi.co.jp/k3n1hsj80000/,https://tabelog.com/kyoto/A2601/A260202/26023283/,,
20,京洋食 まつもと,10,050-3467-5156,604-8215,26,京都市中京区,蛸薬師通新町西入不動町171-4,https://goo.gl/maps/xmMp5B9wzoWtqcC6A,"地下鉄烏丸線 四条駅 徒歩7分
阪急京都線 烏丸駅 徒歩7分","火～日・祝日
ランチ　11:30～15:00
（L.O.14:30）
※最終入店時間は14：30とさせていただきます。
ディナー　18:00～22:00
（L.O.21:30）
※最終入店時間は21：30とさせていただきます。
※当日11:30以降のご予約はお電話にてご確認お願いいたします。","月曜日
月曜日が祝日の場合など営業になる場合もございますので、お電話にてご確認ください。",0,,VISA、Master、AMEX、JCB、Diners,,http://www.youshoku-matsumoto.com/,https://r.gnavi.co.jp/38wfsdr10000/,https://tabelog.com/kyoto/A2601/A260201/26026885/,,https://www.ubereats.com/jp/kyoto/food-delivery/%E4%BA%AC%E6%B4%8B%E9%A3%9F-%E3%81%BE%E3%81%A4%E3%82%82%E3%81%A8-kyoyoushoku-matsumoto/i_x38GLdS-qoZn0Q2Uy6Pw
21,Teppan Steak House 青山 ,14,050-3462-3732,604-8174,26,京都市中京区,役行者町359-1,https://goo.gl/maps/LYhqL6KG6CLDj4dy6,"地下鉄烏丸線 烏丸御池駅 徒歩3分
地下鉄東西線 烏丸御池駅 徒歩3分","ディナー　17:00～22:00
（L.O.21:30）
ランチ　11:30～15:00
（L.O.14:00、ドリンクL.O.14:30）","不定休日あり
年末年始",0,,VISA、Master、JCB、AMEX、Diners,,https://kcdz300.gorp.jp/,https://r.gnavi.co.jp/rwnnc8yh0000/,https://tabelog.com/kyoto/A2601/A260203/26025619/,,
22,京Apollo 新町,19,050-3466-4768,604-8205,26,京都市中京区,三条町327,https://goo.gl/maps/hDJULRHDWQDe1eXA7,"地下鉄烏丸線 烏丸御池駅 徒歩4分
阪急京都線 烏丸駅 徒歩10分","月～水・金～日・祝前日・祝日
ランチ　11:30～13:30
（L.O.13:30）
ディナー　17:00～24:00
（L.O.23:00、ドリンクL.O.23:30）",木曜日,0,,VISA、Master、JCB、AMEX、Diners,,https://k364200.gorp.jp/,https://r.gnavi.co.jp/k364200/,https://tabelog.com/kyoto/A2601/A260202/26033333/,,
23,刻シラズ ,10,050-3467-9228,604-8113,26,京都市中京区,柳馬場六角下ル井筒屋町400-1 プラネシア六角柳馬場ビル3F,https://goo.gl/maps/TLDZicZ7CeYxfcau6,"阪急京都線 烏丸駅 徒歩7分
地下鉄烏丸線 烏丸御池駅 徒歩8分
地下鉄烏丸線 京都市役所前駅 徒歩8分","月・水～日・祝前日・祝日
ディナー　17:00～24:00
（L.O.23:00、ドリンクL.O.23:30）
※営業時間外でも、御予約、宴会などございましたらご相談くださいませ。","火曜日
第2水曜日
定休日でも、貸し切り・ご予約・ご相談あれば何なりとお申し付けくださいませ。",0,,VISA、Master、JCB、AMEX、Diners,交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay,https://tokisirazu.owst.jp/,https://r.gnavi.co.jp/kbx3800/,https://tabelog.com/kyoto/A2601/A260202/26021929/,,https://www.ubereats.com/jp/kyoto/food-delivery/%E3%83%98%E3%83%AB%E3%82%AD%E3%83%BC%E3%83%92%E3%83%BC%E3%83%AB%26%E6%AC%A7%E9%A2%A8%E6%96%99%E7%90%86-%E5%88%BB%E3%82%B7%E3%83%A9%E3%82%B9-belgian-beer-resutaurant-tokisirazu/yGBoCqzJRd2TUU1sB_CfxA
24,炉端かば 京都四条烏丸店,19,050-3461-7590,604-8143,26,京都市中京区,東洞院通錦小路下ル阪東屋町658 B1,https://g.page/kabashijyokarasuma?share,阪急京都線 烏丸駅 徒歩3分,"金・土
夕食　17:00～翌3:00
（L.O.2:30）

月～木
夕食　17:00～24:00
（L.O.23:30）

月～土
昼食　11:00～14:00
※5/8より、時短営業にて営業再開いたします。
【昼食】11時～14時　　【夕食】17時～20時","日曜日
月曜日が祝日の場合は　日曜日営業　月曜日定休日になります",0,,VISA、Master、JCB、AMEX、Diners,iD,https://kcwu400.gorp.jp/,https://r.gnavi.co.jp/7nsvmd930000/,https://tabelog.com/kyoto/A2601/A260201/26029471/,,
25,石狩漁場 四条烏丸店,19,050-3477-5689,604-8142,26,京都市中京区,錦小路通高倉西入ル西魚屋町597 烏丸ミズコートビル2F,https://g.page/ishikarigyojo-shijokarasumaru?share,"阪急京都線 烏丸駅 徒歩2分
地下鉄烏丸線 四条駅 徒歩3分","月～日
ディナー　17:00～翌1:00
（L.O.24:00）
テイクアウト・デリバリーも営業しております。11:00～20:00　※最終受け渡し時間は20:30となります。",不定休日あり,0,,VISA、Master,,https://c980138.gorp.jp/,https://r.gnavi.co.jp/c980138/,https://tabelog.com/kyoto/A2601/A260201/26029009/,,
26,IKARIYA 365 ,9,050-3462-4041,600-8418,26,京都市下京区,五条烏丸町396 京王プレリアホテル1F,https://g.page/ikariya365?share,"地下鉄烏丸線 五条駅 徒歩3分
地下鉄烏丸線 四条駅 徒歩5分
阪急京都線 烏丸駅 徒歩8分","モーニング　6:30～10:00
ランチ　11:30～15:00
（L.O.14:30）
ディナー　17:00～21:00
（L.O.20:31）",年中無休,0,,VISA、Master、JCB、AMEX、Diners,,https://ikariya365.gorp.jp/,https://r.gnavi.co.jp/dvuvd7sb0000/,https://tabelog.com/kyoto/A2601/A260201/26031451/,,
27,広島鉄板 叶夢 ,5,050-3490-2419,600-8427,26,京都市下京区,烏丸通松原西入玉津島町315,https://goo.gl/maps/4LeCrmbgQEnkzLWo6,"地下鉄烏丸線 四条駅 徒歩6分
阪急京都線 烏丸駅 徒歩9分","月～土
ランチ　11:00～14:30
（L.O.14:00）
ディナー　17:00～23:00
（L.O.22:30）","日曜日
祝日のランチはお休みさせて頂きます。",0,,VISA、Master、JCB、AMEX、Diners,交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay,http://kamu13.sakura.ne.jp/,https://r.gnavi.co.jp/kade701/,https://tabelog.com/kyoto/A2601/A260201/26020523/,,https://www.ubereats.com/jp/kyoto/food-delivery/%E5%BA%83%E5%B3%B6%E9%89%84%E6%9D%BF-%E5%8F%B6%E5%A4%A2-hiroshima-teppan-kamu/6FHXcQUPTs6IBpRfUxcapA
28,La Famille Morinaga ,11,050-3469-8300,604-8215,26,京都市中京区,蛸薬師通新町西入不動町175-5,https://goo.gl/maps/dXonYhpyoXKnpyny6,"阪急京都線 烏丸駅 徒歩7分
地下鉄烏丸線 四条駅 徒歩7分","11:30～14:30
（L.O.13:00）
18:00～22:00
（L.O.19:30）","月曜日・日曜日
※貸切の場合はご相談ください。（年末年始の休業日を除く）",0,,JCB、AMEX、Diners,,http://famille-morinaga.jp/jpn/,https://r.gnavi.co.jp/bvkgggpa0000/,https://tabelog.com/kyoto/A2601/A260201/26022098/,,
29,京都ダイナー ,10,050-3312-8741,604-8121,26,京都市中京区,柳馬場通錦小路上ル十文字町451,https://g.page/WineGrillKyotoDiner?share,"阪急京都線 烏丸駅 徒歩4分
阪急京都線 河原町駅 徒歩4分","月～金
12:00～22:00
（L.O.21:30）
当面の間、22時営業終了とさせて頂きます。

土・日・祝
12:00～23:30
（L.O.23:00）
※日曜のみ22:30終了(LO22:00)
※昼から通常メニューです。ご予約はお食事を伴うご利用をお願い致します",不定休日あり,0,,VISA、Master、JCB、AMEX、Diners,,http://kyoto-diner.com/,https://r.gnavi.co.jp/k2y4f57a0000/,https://tabelog.com/kyoto/A2601/A260201/26019479/,,
30,肉屋 甲,14,050-3477-1092,604-8121,26,京都市中京区,十文字町455-2,https://goo.gl/maps/HWpvxAAJtAGJXjRC9,"阪急京都線 烏丸駅 徒歩3分
阪急京都線 河原町駅 徒歩3分","月～金
ディナー　18:00～23:00
（L.O.22:00）

土・日・祝
ディナー　17:00～23:00
（L.O.22:00）
◆テイクアウト注文・受け取り可能時間◆
11：00〜21：00",年中無休,0,,VISA、Master、JCB、AMEX、Diners,,https://kbyz803.gorp.jp/,https://r.gnavi.co.jp/hsswtaj40000/,https://tabelog.com/kyoto/A2601/A260201/26032599/,,
31,EL BOGAVANTE 346 ,10,050-3462-5363,604-8247,26,京都市中京区,塩屋町53 ORYZA三条西洞院1F,https://g.page/EL346?share,"地下鉄烏丸線 烏丸御池駅 徒歩7分
地下鉄東西線 烏丸御池駅 徒歩9分
阪急京都線 烏丸駅 徒歩12分","月・火・木～日
ランチ　12:00～15:00
（L.O.14:30、ドリンクL.O.14:30）
14:00最終入店となります。
ディナー　17:30～22:00
（L.O.21:30、ドリンクL.O.21:30）
21:00最終入店となります。",水曜日,0,,VISA、Master、JCB、AMEX、Diners,交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay,http://www.elbogavante346.com/,https://r.gnavi.co.jp/h2d9a5ah0000/,https://tabelog.com/kyoto/A2601/A260202/26007458/,,https://www.ubereats.com/jp/kyoto/food-delivery/%E3%82%A8%E3%83%AB-%E3%83%9B%E3%82%AB%E3%83%8F%E3%83%B3%E3%83%86-346-el-bogavante-346/mCYdNJ4kTpS6uEstlYkECg
32,輝庭,3,050-3374-0966,600-8411,26,京都市下京区,烏丸通四条下ル水銀屋町612 四条烏丸ビルB1,https://goo.gl/maps/jUkozmVsQbMbwKjM9,"阪急京都線 烏丸駅 徒歩1分
地下鉄烏丸線 四条駅 徒歩1分","ランチ　11:00～14:30
（L.O.14:00）
ディナー　17:00～22:00
（L.O.21:00）","日曜日
日曜日のランチは営業しております",0,,VISA、Master、JCB、AMEX,,https://www.bal-flower.co.jp/fd/kagayakitei.html,https://r.gnavi.co.jp/16wb88ks0000/,https://tabelog.com/kyoto/A2601/A260301/26000743/,,
33,和食 デザインダイニング HARI,3,050-3477-5105,600-8082,26,京都市下京区,高倉通四条下る高材木町225‐1 SS．BLD　2F,https://g.page/harikarasuma?share,阪急京都線 烏丸駅 15番出口 徒歩1分,"ランチ　11:30～14:00
（L.O.13:30、ドリンクL.O.13:30）
■臨時休業期間：2020年6月11日（木）～2020年7月31日（金）
ディナー　18:00～23:00
（L.O.22:30、ドリンクL.O.22:30）
■臨時休業期間：2020年6月11日（木）～2020年7月31日（金）","月曜日
臨時休業期間：2020年6月11日（木）～2020年7月31日（金）",0,,VISA、Master、JCB、AMEX、Diners,,https://hari.gorp.jp/,https://r.gnavi.co.jp/k441301/,https://tabelog.com/kyoto/A2601/A260201/26003140/,,
34,杦 SEN ,3,075-361-8873,600-8103,26,京都市下京区,五条通柳馬場上ル塩竈町379,https://goo.gl/maps/kb7UkieiBydBTfnb9,"地下鉄烏丸線 五条駅 徒歩5分
京阪本線 清水五条駅 徒歩7分","昼食　12:00～15:00
※昼食は予約制（3名様以上）となります。
夕食　17:30～22:00","水曜日
不定休",0,,カード可,,https://sen-kyoto.gorp.jp/,https://r.gnavi.co.jp/cf7b5cuh0000/,https://tabelog.com/kyoto/A2601/A260201/26030495/,,
35,山内農場 烏丸御池駅前店,19,075-212-9688,604-8172,26,京都市中京区,烏丸通姉小路下ル場之町599 CUBE OIKE B1,https://goo.gl/maps/UYPTwD7DYCiti6kq8,地下鉄烏丸線 烏丸御池駅 徒歩3分,"月～金
ランチ　11:00～14:00
※祝日は除く

月～土・祝前日
17:00～翌1:00

日・祝日
17:00～24:00
※月～金は11:00～14:00・17:00～24:00、土・日・祝前日・祝日は17:00～24:00にて営業。※ラストオーダー23時（アルコール含む）",無,0,,VISA、Master、JCB、Diners、AMEX,楽天Edy、iD,https://kc1v648.gorp.jp/,https://r.gnavi.co.jp/6arx19ny0000/,https://tabelog.com/kyoto/A2601/A260202/26006522/,,
36,つつみ ,3,050-3313-0423,604-8205,26,京都市中京区,新町通三条下ル三条町327 サイト烏丸三条町1F,https://g.page/Tsutsumi223?share,"地下鉄烏丸線 烏丸御池駅 徒歩5分
地下鉄東西線 烏丸御池駅 徒歩7分","月～日
ディナー　18:00～22:00
（L.O.22:00）

※予約制",不定休日あり,0,,VISA、Master、JCB,,https://tsutsumi.site/,https://r.gnavi.co.jp/5b30sbxb0000/,https://tabelog.com/kyoto/A2601/A260202/26013297/,,
37,魚民 四条烏丸駅前店,19,075-344-4288,600-8412,26,京都市下京区,烏丸通仏光寺上ル二帖半敷町661 ツカキスクエアB1,https://goo.gl/maps/g56Li4ssfaHCMuYK6,阪急京都線 烏丸駅 徒歩1分,"月～木・日・祝日
17:00～翌2:00

金・土・祝前日
17:00～翌3:00
※全日 17:00～24:00にて営業。※ラストオーダー23時（アルコール含む）",無,0,,VISA、Master、JCB、AMEX、Diners,楽天Edy、iD,https://www.monteroza.co.jp/brand/tami/,https://r.gnavi.co.jp/kaed362/,https://tabelog.com/kyoto/A2601/A260201/26020944/,,
38,和ごころ 泉 ,3,050-3464-5345,600-8414,26,京都市下京区,烏丸仏光寺東入ル一筋目南入ル匂天神町634-3,https://goo.gl/maps/H8wRCQxyqaSXHAfZ8,"地下鉄烏丸線 四条駅 5番出口 徒歩2分
阪急京都線 烏丸駅 徒歩2分","昼の部　12:00～14:30
（L.O.13:00）
夜の部　18:00～21:30
（L.O.19:30）","月曜日
※その他月1回不定休あり",0,,VISA、Master、JCB、AMEX,,https://wagokoro-izumi.gorp.jp/,https://r.gnavi.co.jp/m4s2cj930000/,https://tabelog.com/kyoto/A2601/A260201/26006071/,,
39,魚民 五条駅前店,19,075-351-2688,600-8106,26,京都市下京区,五条通烏丸西入醍醐町284 YMC烏丸五条ビル1F,https://goo.gl/maps/SX5WkfXNKBdPsF3Z6,地下鉄烏丸線 五条駅 2番出口 徒歩3分,"月～木
17:00～翌1:00

金・土・祝前日
17:00～翌3:00

日・祝日
17:00～24:00
※月～土は12:00～24:00、日・祝・祝前は17:00～24:00にて営業。※ラストオーダー23時（アルコール含む）",無,0,,VISA、Master、JCB、AMEX、Diners,"楽天Edy、iD
Alipay・WeChat Pay・LINE Pay・PayPay・楽天Pay・auPay
Origami Pay・メルPay・NAVER Pay・J-Coin Pay",https://www.monteroza.co.jp/brand/tami/,https://r.gnavi.co.jp/ka4a891/,https://tabelog.com/kyoto/A2601/A260201/26016919/,,
